track_title,track_composers,track_genres,track_styles,track_moods,track_themes,album_title,album_release_date,album_duration,album_styles,album_recording_date,album_recording_location,album_moods,album_themes,album_rating
Release,"Jeff Ament, Stone Gossard, Dave Krusen, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Bittersweet, Brooding, Hypnotic, Melancholy, Plaintive, Poignant, Reflective, Searching, Somber, Yearning","Introspection, Reflection, Regret",Ten,1991,50:46,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March 27, 1991 - April 26, 1991","London Bridge Studios, Seattle, WA","Angst-Ridden, Brooding, Aggressive, Angry, Bitter, Bittersweet, Brash, Cathartic, Dramatic, Earnest, Fiery, Freewheeling, Intense, Melancholy, Passionate, Poignant, Raucous, Rebellious, Reflective, Searching, Urgent, Visceral, Somber","Empowerment, Revolution, Solitude",5.0
Go,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Aggressive, Angst-Ridden, Autumnal, Cathartic, Earnest, Fiery, Intense, Raucous, Searching, Tense/Anxious, Urgent, Visceral, Dramatic, Melancholy, Rousing, Passionate, Brash, Confrontational","Empowerment, Feeling Blue, In Love, Loss/Grief, Revolution",Vs.,1993,46:17,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March, 1993 - May, 1993","Potatohead, Seattle, WA","Menacing, Poignant, Raucous, Rousing, Searching, Tense/Anxious, Volatile, Yearning, Angry, Brooding, Fiery, Intense, Messy, Quirky, Urgent, Aggressive, Angst-Ridden, Autumnal, Bittersweet, Brash, Cathartic, Complex, Earnest, Freewheeling, Melancholy, Passionate, Playful, Provocative, Reckless, Reflective, Sprawling, Visceral, Warm, Wistful","Heartache, Introspection, Loss/Grief",4.0
Animal,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Angst-Ridden, Cathartic, Intense, Searching, Tense/Anxious, Urgent, Visceral, Aggressive, Autumnal, Brooding, Raucous, Fiery, Sprawling",Empowerment,Vs.,1993,46:17,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March, 1993 - May, 1993","Potatohead, Seattle, WA","Menacing, Poignant, Raucous, Rousing, Searching, Tense/Anxious, Volatile, Yearning, Angry, Brooding, Fiery, Intense, Messy, Quirky, Urgent, Aggressive, Angst-Ridden, Autumnal, Bittersweet, Brash, Cathartic, Complex, Earnest, Freewheeling, Melancholy, Passionate, Playful, Provocative, Reckless, Reflective, Sprawling, Visceral, Warm, Wistful","Heartache, Introspection, Loss/Grief",4.0
Daughter,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Angst-Ridden, Autumnal, Bittersweet, Brooding, Cathartic, Reflective, Searching, Urgent, Visceral, Warm, Wistful, Yearning, Dramatic, Earnest, Energetic, Fiery, Poignant, Aggressive, Intense, Raucous","Introspection, Reflection, Regret, Empowerment, Revolution",Vs.,1993,46:17,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March, 1993 - May, 1993","Potatohead, Seattle, WA","Menacing, Poignant, Raucous, Rousing, Searching, Tense/Anxious, Volatile, Yearning, Angry, Brooding, Fiery, Intense, Messy, Quirky, Urgent, Aggressive, Angst-Ridden, Autumnal, Bittersweet, Brash, Cathartic, Complex, Earnest, Freewheeling, Melancholy, Passionate, Playful, Provocative, Reckless, Reflective, Sprawling, Visceral, Warm, Wistful","Heartache, Introspection, Loss/Grief",4.0
Glorified G,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Angst-Ridden, Cathartic, Freewheeling, Provocative, Rousing, Searching, Silly, Earnest, Aggressive",Motivation,Vs.,1993,46:17,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March, 1993 - May, 1993","Potatohead, Seattle, WA","Menacing, Poignant, Raucous, Rousing, Searching, Tense/Anxious, Volatile, Yearning, Angry, Brooding, Fiery, Intense, Messy, Quirky, Urgent, Aggressive, Angst-Ridden, Autumnal, Bittersweet, Brash, Cathartic, Complex, Earnest, Freewheeling, Melancholy, Passionate, Playful, Provocative, Reckless, Reflective, Sprawling, Visceral, Warm, Wistful","Heartache, Introspection, Loss/Grief",4.0
Dissident,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Angst-Ridden, Autumnal, Bittersweet, Brooding, Cathartic, Earnest, Fiery, Freewheeling, Poignant, Searching, Urgent, Visceral, Warm, Wistful, Yearning, Dramatic, Energetic, Aggressive, Raucous","Rainy Day, Reflection, Empowerment, Revolution",Vs.,1993,46:17,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March, 1993 - May, 1993","Potatohead, Seattle, WA","Menacing, Poignant, Raucous, Rousing, Searching, Tense/Anxious, Volatile, Yearning, Angry, Brooding, Fiery, Intense, Messy, Quirky, Urgent, Aggressive, Angst-Ridden, Autumnal, Bittersweet, Brash, Cathartic, Complex, Earnest, Freewheeling, Melancholy, Passionate, Playful, Provocative, Reckless, Reflective, Sprawling, Visceral, Warm, Wistful","Heartache, Introspection, Loss/Grief",4.0
W.M.A.,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge","Angst-Ridden, Atmospheric, Dramatic, Freewheeling, Intense, Messy, Quirky, Searching, Sprawling",Freedom,Vs.,1993,46:17,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March, 1993 - May, 1993","Potatohead, Seattle, WA","Menacing, Poignant, Raucous, Rousing, Searching, Tense/Anxious, Volatile, Yearning, Angry, Brooding, Fiery, Intense, Messy, Quirky, Urgent, Aggressive, Angst-Ridden, Autumnal, Bittersweet, Brash, Cathartic, Complex, Earnest, Freewheeling, Melancholy, Passionate, Playful, Provocative, Reckless, Reflective, Sprawling, Visceral, Warm, Wistful","Heartache, Introspection, Loss/Grief",4.0
Blood,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Aggressive, Angst-Ridden, Autumnal, Bittersweet, Brooding, Cathartic, Earnest, Fiery, Freewheeling, Intense, Raucous, Reflective, Searching, Tense/Anxious, Urgent, Visceral, Dramatic, Energetic, Melancholy, Yearning, Passionate, Poignant","Empowerment, In Love, Revolution",Vs.,1993,46:17,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March, 1993 - May, 1993","Potatohead, Seattle, WA","Menacing, Poignant, Raucous, Rousing, Searching, Tense/Anxious, Volatile, Yearning, Angry, Brooding, Fiery, Intense, Messy, Quirky, Urgent, Aggressive, Angst-Ridden, Autumnal, Bittersweet, Brash, Cathartic, Complex, Earnest, Freewheeling, Melancholy, Passionate, Playful, Provocative, Reckless, Reflective, Sprawling, Visceral, Warm, Wistful","Heartache, Introspection, Loss/Grief",4.0
Rearviewmirror,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Angst-Ridden, Cathartic, Freewheeling, Intense, Melancholy, Searching, Tense/Anxious, Urgent, Visceral",Sex,Vs.,1993,46:17,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March, 1993 - May, 1993","Potatohead, Seattle, WA","Menacing, Poignant, Raucous, Rousing, Searching, Tense/Anxious, Volatile, Yearning, Angry, Brooding, Fiery, Intense, Messy, Quirky, Urgent, Aggressive, Angst-Ridden, Autumnal, Bittersweet, Brash, Cathartic, Complex, Earnest, Freewheeling, Melancholy, Passionate, Playful, Provocative, Reckless, Reflective, Sprawling, Visceral, Warm, Wistful","Heartache, Introspection, Loss/Grief",4.0
Rats,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Angst-Ridden, Cathartic, Freewheeling, Intense, Raucous, Searching, Somber, Tense/Anxious, Urgent, Visceral",,Vs.,1993,46:17,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March, 1993 - May, 1993","Potatohead, Seattle, WA","Menacing, Poignant, Raucous, Rousing, Searching, Tense/Anxious, Volatile, Yearning, Angry, Brooding, Fiery, Intense, Messy, Quirky, Urgent, Aggressive, Angst-Ridden, Autumnal, Bittersweet, Brash, Cathartic, Complex, Earnest, Freewheeling, Melancholy, Passionate, Playful, Provocative, Reckless, Reflective, Sprawling, Visceral, Warm, Wistful","Heartache, Introspection, Loss/Grief",4.0
Elderly Woman Behind the Counter in a Small Town,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge","Autumnal, Bittersweet, Earnest, Melancholy, Poignant, Reflective, Searching, Sweet, Warm, Wistful, Yearning","Rainy Day, Reflection, Regret, Reminiscing",Vs.,1993,46:17,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March, 1993 - May, 1993","Potatohead, Seattle, WA","Menacing, Poignant, Raucous, Rousing, Searching, Tense/Anxious, Volatile, Yearning, Angry, Brooding, Fiery, Intense, Messy, Quirky, Urgent, Aggressive, Angst-Ridden, Autumnal, Bittersweet, Brash, Cathartic, Complex, Earnest, Freewheeling, Melancholy, Passionate, Playful, Provocative, Reckless, Reflective, Sprawling, Visceral, Warm, Wistful","Heartache, Introspection, Loss/Grief",4.0
Leash,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Aggressive, Angst-Ridden, Autumnal, Cathartic, Fiery, Freewheeling, Intense, Passionate, Raucous, Searching, Tense/Anxious, Urgent, Visceral, Energetic, Reflective, Yearning","Empowerment, In Love, Revolution, Motivation",Vs.,1993,46:17,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March, 1993 - May, 1993","Potatohead, Seattle, WA","Menacing, Poignant, Raucous, Rousing, Searching, Tense/Anxious, Volatile, Yearning, Angry, Brooding, Fiery, Intense, Messy, Quirky, Urgent, Aggressive, Angst-Ridden, Autumnal, Bittersweet, Brash, Cathartic, Complex, Earnest, Freewheeling, Melancholy, Passionate, Playful, Provocative, Reckless, Reflective, Sprawling, Visceral, Warm, Wistful","Heartache, Introspection, Loss/Grief",4.0
Indifference,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Angst-Ridden, Autumnal, Bittersweet, Earnest, Intimate, Laid-Back/Mellow, Melancholy, Plaintive, Poignant, Reflective, Searching, Soft/Quiet, Sprawling","Introspection, Late Night, Reflection, Motivation",Vs.,1993,46:17,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"March, 1993 - May, 1993","Potatohead, Seattle, WA","Menacing, Poignant, Raucous, Rousing, Searching, Tense/Anxious, Volatile, Yearning, Angry, Brooding, Fiery, Intense, Messy, Quirky, Urgent, Aggressive, Angst-Ridden, Autumnal, Bittersweet, Brash, Cathartic, Complex, Earnest, Freewheeling, Melancholy, Passionate, Playful, Provocative, Reckless, Reflective, Sprawling, Visceral, Warm, Wistful","Heartache, Introspection, Loss/Grief",4.0
Last Exit,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Aggressive, Angst-Ridden, Brooding, Cathartic, Earnest, Fiery, Intense, Tense/Anxious, Urgent, Visceral, Bittersweet, Dramatic, Energetic, Yearning, Poignant, Raucous","Empowerment, Revolution",Vitalogy,1994,55:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"November, 1993 - October, 1994","Atlanta, GA","Provocative, Volatile, Aggressive, Angry, Angst-Ridden, Bittersweet, Brooding, Cathartic, Complex, Freewheeling, Melancholy, Messy, Playful, Poignant, Quirky, Raucous, Reflective, Earnest, Fiery, Intense, Reckless, Searching, Tense/Anxious, Urgent, Visceral","Heartache, Introspection, Loss/Grief",4.5
Spin the Black Circle,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Aggressive, Angst-Ridden, Autumnal, Cathartic, Confrontational, Earnest, Energetic, Fiery, Freewheeling, Intense, Raucous, Reckless, Searching, Tense/Anxious, Urgent, Visceral, Volatile, Dramatic, Melancholy, Rousing, Passionate","Empowerment, Feeling Blue, In Love, Loss/Grief, Revolution",Vitalogy,1994,55:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"November, 1993 - October, 1994","Atlanta, GA","Provocative, Volatile, Aggressive, Angry, Angst-Ridden, Bittersweet, Brooding, Cathartic, Complex, Freewheeling, Melancholy, Messy, Playful, Poignant, Quirky, Raucous, Reflective, Earnest, Fiery, Intense, Reckless, Searching, Tense/Anxious, Urgent, Visceral","Heartache, Introspection, Loss/Grief",4.5
Not for You,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Aggressive, Angst-Ridden, Brooding, Cathartic, Confident, Crunchy, Earnest, Fiery, Intense, Tense/Anxious, Urgent, Visceral, Bittersweet, Dramatic, Energetic, Yearning, Poignant, Raucous","Empowerment, Revolution",Vitalogy,1994,55:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"November, 1993 - October, 1994","Atlanta, GA","Provocative, Volatile, Aggressive, Angry, Angst-Ridden, Bittersweet, Brooding, Cathartic, Complex, Freewheeling, Melancholy, Messy, Playful, Poignant, Quirky, Raucous, Reflective, Earnest, Fiery, Intense, Reckless, Searching, Tense/Anxious, Urgent, Visceral","Heartache, Introspection, Loss/Grief",4.5
Tremor Christ,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Angst-Ridden, Cathartic, Dramatic, Freewheeling, Intense, Rousing, Sprawling, Tense/Anxious",,Vitalogy,1994,55:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"November, 1993 - October, 1994","Atlanta, GA","Provocative, Volatile, Aggressive, Angry, Angst-Ridden, Bittersweet, Brooding, Cathartic, Complex, Freewheeling, Melancholy, Messy, Playful, Poignant, Quirky, Raucous, Reflective, Earnest, Fiery, Intense, Reckless, Searching, Tense/Anxious, Urgent, Visceral","Heartache, Introspection, Loss/Grief",4.5
Nothingman,"Jeff Ament, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Autumnal, Bittersweet, Gentle, Intimate, Melancholy, Poignant, Reflective, Searching, Somber","Introspection, Reflection",Vitalogy,1994,55:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"November, 1993 - October, 1994","Atlanta, GA","Provocative, Volatile, Aggressive, Angry, Angst-Ridden, Bittersweet, Brooding, Cathartic, Complex, Freewheeling, Melancholy, Messy, Playful, Poignant, Quirky, Raucous, Reflective, Earnest, Fiery, Intense, Reckless, Searching, Tense/Anxious, Urgent, Visceral","Heartache, Introspection, Loss/Grief",4.5
Whipping,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Aggressive, Angst-Ridden, Autumnal, Cathartic, Earnest, Fiery, Intense, Searching, Tense/Anxious, Urgent, Visceral, Dramatic, Melancholy, Rousing, Passionate, Raucous","Empowerment, Feeling Blue, In Love, Loss/Grief, Revolution",Vitalogy,1994,55:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"November, 1993 - October, 1994","Atlanta, GA","Provocative, Volatile, Aggressive, Angry, Angst-Ridden, Bittersweet, Brooding, Cathartic, Complex, Freewheeling, Melancholy, Messy, Playful, Poignant, Quirky, Raucous, Reflective, Earnest, Fiery, Intense, Reckless, Searching, Tense/Anxious, Urgent, Visceral","Heartache, Introspection, Loss/Grief",4.5
"Pry, To","Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",,,,,Vitalogy,1994,55:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"November, 1993 - October, 1994","Atlanta, GA","Provocative, Volatile, Aggressive, Angry, Angst-Ridden, Bittersweet, Brooding, Cathartic, Complex, Freewheeling, Melancholy, Messy, Playful, Poignant, Quirky, Raucous, Reflective, Earnest, Fiery, Intense, Reckless, Searching, Tense/Anxious, Urgent, Visceral","Heartache, Introspection, Loss/Grief",4.5
Corduroy,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Aggressive, Brooding, Fiery, Intense, Raucous, Urgent, Visceral, Bittersweet, Cathartic, Dramatic, Angst-Ridden, Earnest, Melancholy, Passionate, Reflective, Searching, Yearning, Somber","Empowerment, In Love, Revolution",Vitalogy,1994,55:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"November, 1993 - October, 1994","Atlanta, GA","Provocative, Volatile, Aggressive, Angry, Angst-Ridden, Bittersweet, Brooding, Cathartic, Complex, Freewheeling, Melancholy, Messy, Playful, Poignant, Quirky, Raucous, Reflective, Earnest, Fiery, Intense, Reckless, Searching, Tense/Anxious, Urgent, Visceral","Heartache, Introspection, Loss/Grief",4.5
Bugs,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",,,,,Vitalogy,1994,55:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"November, 1993 - October, 1994","Atlanta, GA","Provocative, Volatile, Aggressive, Angry, Angst-Ridden, Bittersweet, Brooding, Cathartic, Complex, Freewheeling, Melancholy, Messy, Playful, Poignant, Quirky, Raucous, Reflective, Earnest, Fiery, Intense, Reckless, Searching, Tense/Anxious, Urgent, Visceral","Heartache, Introspection, Loss/Grief",4.5
Satan's Bed,"Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Grunge","Aggressive, Brash, Demonic",,Vitalogy,1994,55:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"November, 1993 - October, 1994","Atlanta, GA","Provocative, Volatile, Aggressive, Angry, Angst-Ridden, Bittersweet, Brooding, Cathartic, Complex, Freewheeling, Melancholy, Messy, Playful, Poignant, Quirky, Raucous, Reflective, Earnest, Fiery, Intense, Reckless, Searching, Tense/Anxious, Urgent, Visceral","Heartache, Introspection, Loss/Grief",4.5
Better Man,Eddie Vedder,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge","Exuberant, Yearning, Dramatic, Earnest, Passionate, Rousing, Melancholy, Poignant, Reflective, Searching, Wistful","Introspection, Regret",Vitalogy,1994,55:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"November, 1993 - October, 1994","Atlanta, GA","Provocative, Volatile, Aggressive, Angry, Angst-Ridden, Bittersweet, Brooding, Cathartic, Complex, Freewheeling, Melancholy, Messy, Playful, Poignant, Quirky, Raucous, Reflective, Earnest, Fiery, Intense, Reckless, Searching, Tense/Anxious, Urgent, Visceral","Heartache, Introspection, Loss/Grief",4.5
