track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,author,producer,track_composers,track_genres,track_styles,track_moods,track_themes,album_duration,album_styles,album_recording_date,album_recording_location,album_moods,album_themes,album_rating,billboard_hot_100_debut_date,billboard_hot_100_peak_pos,billboard_hot_100_peak_date,billboard_hot_100_weaks_on_chart,radio_songs_debut_date,radio_songs_peak_pos,radio_songs_peak_date,radio_songs_weaks_on_chart,hot_rock_&_alternative_songs_debut_date,hot_rock_&_alternative_songs_peak_pos,hot_rock_&_alternative_songs_peak_date,hot_rock_&_alternative_songs_weaks_on_chart,mainstream_rock_airplay_debut_date,mainstream_rock_airplay_peak_pos,mainstream_rock_airplay_peak_date,mainstream_rock_airplay_weaks_on_chart,alternative_airplay_debut_date,alternative_airplay_peak_pos,alternative_airplay_peak_date,alternative_airplay_weaks_on_chart,rock_digital_song_sales_debut_date,rock_digital_song_sales_peak_pos,rock_digital_song_sales_peak_date,rock_digital_song_sales_weaks_on_chart,alternative_digital_song_sales_debut_date,alternative_digital_song_sales_peak_pos,alternative_digital_song_sales_peak_date,alternative_digital_song_sales_weaks_on_chart,hot_rock_songs_debut_date,hot_rock_songs_peak_pos,hot_rock_songs_peak_date,hot_rock_songs_weaks_on_chart,canadian_digital_song_sales_debut_date,canadian_digital_song_sales_peak_pos,canadian_digital_song_sales_peak_date,canadian_digital_song_sales_weaks_on_chart,lyricfind_u.s._debut_date,lyricfind_u.s._peak_pos,lyricfind_u.s._peak_date,lyricfind_u.s._weaks_on_chart
Hollow,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,341,2.2e-05,0.453,0.825,0.593,6,0.372,-5.071,0,0.0352,98.005,3,0.176,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains",Jerry Cantrell,,"Doom Metal, Sludge Metal",,,01:07:16,Alternative MetalHeavy MetalHard Rock,,,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretty Done,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,275,6.75e-06,0.415,0.862,0.81,11,0.0629,-4.137,1,0.038,100.001,4,0.323,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains",Jerry Cantrell,,,,,01:07:16,Alternative MetalHeavy MetalHard Rock,,,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,262,6.1e-06,0.456,0.867,0.764,1,0.0914,-4.499,1,0.0399,75.991,4,0.558,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains",Jerry Cantrell,,,,,01:07:16,Alternative MetalHeavy MetalHard Rock,,,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",3.0,,,,,,,,,06.08.13,37,06.22.13,7,,,,,,,,,,,,,,,,,06.08.13,37,06.22.13,7,,,,,,,,
Voices,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,342,0.000143,0.509,0.751,0.157,8,0.108,-6.962,1,0.0351,106.003,4,0.133,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains",Jerry Cantrell,,,,,01:07:16,Alternative MetalHeavy MetalHard Rock,,,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Devil Put Dinosaurs Here,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,398,5.41e-05,0.362,0.767,0.501,5,0.107,-5.499,0,0.0302,92.011,4,0.201,"Jerry Cantrell, Mike Inez, Sean Kinney","Nick Raskulinecz, Alice in Chains","Jerry Cantrell, Mike Inez, Sean Kinney",,,,,01:07:16,Alternative MetalHeavy MetalHard Rock,,,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab Monkey,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,358,2.21e-05,0.347,0.741,0.912,6,0.102,-6.066,1,0.0327,108.189,4,0.195,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains",Jerry Cantrell,,,,,01:07:16,Alternative MetalHeavy MetalHard Rock,,,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Ceiling,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,315,2.39e-05,0.262,0.824,0.211,10,0.0943,-4.615,0,0.0428,158.054,4,0.377,"Jerry Cantrell, Mike Inez, Sean Kinney","Nick Raskulinecz, Alice in Chains","Jerry Cantrell, Mike Inez, Sean Kinney",,,,,01:07:16,Alternative MetalHeavy MetalHard Rock,,,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breath on a Window,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,319,5.37e-05,0.253,0.864,0.605,5,0.216,-5.067,0,0.0432,110.07,4,0.403,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains",Jerry Cantrell,,,,,01:07:16,Alternative MetalHeavy MetalHard Rock,,,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalpel,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,321,2.36e-05,0.39,0.657,0.392,8,0.117,-5.951,1,0.0312,104.674,4,0.278,"Jerry Cantrell, Mike Inez, Sean Kinney","Nick Raskulinecz, Alice in Chains","Jerry Cantrell, Mike Inez, Sean Kinney",,,,,01:07:16,Alternative MetalHeavy MetalHard Rock,,,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phantom Limb,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,427,3.67e-05,0.283,0.857,0.769,10,0.119,-3.918,0,0.0444,138.186,4,0.326,"Jerry Cantrell, Mike Inez, Sean Kinney, William DuVall","Nick Raskulinecz, Alice in Chains","Jerry Cantrell, William DuVall, Mike Inez, Sean Kinney",,,,,01:07:16,Alternative MetalHeavy MetalHard Rock,,,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hung on a Hook,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,334,4.65e-06,0.225,0.562,0.772,1,0.0897,-6.147,1,0.0318,98.814,4,0.067,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains",Jerry Cantrell,,,,,01:07:16,Alternative MetalHeavy MetalHard Rock,,,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choke,The Devil Put Dinosaurs Here,studio album,2013,Alice In Chains,344,0.000168,0.515,0.695,0.783,3,0.158,-6.518,0,0.0283,103.92,4,0.208,"Jerry Cantrell, Mike Inez, Sean Kinney","Nick Raskulinecz, Alice in Chains","Jerry Cantrell, Mike Inez, Sean Kinney",,,,,01:07:16,Alternative MetalHeavy MetalHard Rock,,,"Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Nihilistic, Aggressive, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Drinking, Guys Night Out, Late Night, Loneliness, Nighttime, Yearning",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Secrets Known,Black Gives Way to Blue,studio album,2009,Alice In Chains,282,4.61e-06,0.384,0.82,0.0291,1,0.137,-5.676,1,0.0464,112.04,3,0.313,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains",Jerry Cantrell,Pop/Rock,"Alternative Metal, Heavy Metal, Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Hard Rock","Angst-Ridden, Confrontational, Bleak, Ominous, Theatrical, Dramatic, Cathartic, Crunchy, Tense/Anxious, Volatile, Intense, Menacing, Urgent, Gloomy","Freedom, Hanging Out, Late Night",54:11,Alternative MetalHard RockHeavy MetalAlternative/Indie Rock,,"Henson Studios, Los Angeles, CA","Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Bittersweet, Nihilistic, Aggressive, Bitter, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check My Brain,Black Gives Way to Blue,studio album,2009,Alice In Chains,237,3.28e-06,0.441,0.845,0.0533,10,0.723,-3.315,1,0.0462,113.989,4,0.304,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains","Jerry Cantrell, William Duvall, Mike Inez, Sean Kinney",,,,,54:11,Alternative MetalHard RockHeavy MetalAlternative/Indie Rock,,"Henson Studios, Los Angeles, CA","Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Bittersweet, Nihilistic, Aggressive, Bitter, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.0,10.03.09,92,10.17.09,4,10.10.09,71,10.31.09,5,08.29.09,1,09.19.09,25,08.29.09,1,10.03.09,28,08.29.09,1,10.10.09,20,,,,,,,,,08.29.09,1,09.19.09,25,09.05.09,55,09.05.09,1,,,,
Last of My Kind,Black Gives Way to Blue,studio album,2009,Alice In Chains,352,2.41e-05,0.477,0.895,0.462,1,0.302,-4.231,1,0.0397,115.973,4,0.371,"Jerry Cantrell, William DuVall","Nick Raskulinecz, Alice in Chains","Jerry Cantrell, William Duvall",Pop/Rock,"Alternative Metal, Heavy Metal, Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Hard Rock","Angst-Ridden, Confrontational, Bleak, Ominous, Theatrical, Dramatic, Cathartic, Crunchy, Tense/Anxious, Volatile, Intense, Menacing, Urgent, Gloomy","Freedom, Hanging Out, Late Night",54:11,Alternative MetalHard RockHeavy MetalAlternative/Indie Rock,,"Henson Studios, Los Angeles, CA","Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Bittersweet, Nihilistic, Aggressive, Bitter, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your Decision,Black Gives Way to Blue,studio album,2009,Alice In Chains,283,4.42e-05,0.469,0.631,0.000375,3,0.09,-5.872,0,0.0262,99.96,4,0.192,Jerry Cantrell,"Nick Raskulinecz, Alice in Chains",Jerry Cantrell,Pop/Rock,"Alternative Metal, Heavy Metal, Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Hard Rock","Angst-Ridden, Intimate, Bleak, Weary, Reflective, Somber, Dramatic, Gloomy, Intense, Lazy, Searching, Melancholy, Insular","Hanging Out, Introspection, Late Night, Regret",54:11,Alternative MetalHard RockHeavy MetalAlternative/Indie Rock,,"Henson Studios, Los Angeles, CA","Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Bittersweet, Nihilistic, Aggressive, Bitter, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.0,,,,,,,,,12.19.09,1,03.06.10,29,12.19.09,1,02.27.10,29,12.19.09,4,04.10.10,22,,,,,,,,,12.19.09,1,03.06.10,29,,,,,,,,
A Looking in View,Black Gives Way to Blue,studio album,2009,Alice In Chains,426,5.3e-06,0.274,0.839,0.0326,6,0.257,-4.264,1,0.0489,122.182,4,0.217,"Jerry Cantrell, Mike Inez, Sean Kinney, William DuVall","Nick Raskulinecz, Alice in Chains","Jerry Cantrell, William Duvall, Mike Inez, Sean Kinney",Pop/Rock,"Alternative Metal, Heavy Metal, Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Hard Rock","Angst-Ridden, Confrontational, Bleak, Ominous, Theatrical, Dramatic, Cathartic, Crunchy, Tense/Anxious, Volatile, Intense, Menacing, Urgent, Gloomy","Freedom, Hanging Out, Late Night",54:11,Alternative MetalHard RockHeavy MetalAlternative/Indie Rock,,"Henson Studios, Los Angeles, CA","Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Bittersweet, Nihilistic, Aggressive, Bitter, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.0,,,,,,,,,07.18.09,27,08.22.09,8,,,,,,,,,,,,,,,,,07.18.09,27,08.22.09,8,,,,,,,,
When the Sun Rose Again,Black Gives Way to Blue,studio album,2009,Alice In Chains,240,0.16,0.597,0.468,0.000221,7,0.103,-9.028,0,0.0238,92.008,4,0.435,,,Jerry Cantrell,Pop/Rock,"Alternative Metal, Heavy Metal, Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Hard Rock","Angst-Ridden, Intimate, Bleak, Weary, Reflective, Somber, Dramatic, Gloomy, Intense, Lazy, Searching, Melancholy, Insular","Hanging Out, Introspection, Late Night",54:11,Alternative MetalHard RockHeavy MetalAlternative/Indie Rock,,"Henson Studios, Los Angeles, CA","Bleak, Anguished/Distraught, Gloomy, Ominous, Angst-Ridden, Bittersweet, Nihilistic, Aggressive, Bitter, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
