track_title,track_composers,track_genres,track_styles,track_moods,track_themes,album_title,album_release_date,album_duration,album_styles,album_recording_date,album_recording_location,album_moods,album_themes,album_rating
I Know Somethin (Bout You),Jerry Cantrell,Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Angry, Angst-Ridden, Anguished/Distraught, Bleak, Brash, Cathartic, Confrontational, Intense, Aggressive, Menacing, Ominous, Visceral, Hostile, Nihilistic, Volatile, Brooding, Gloomy, Theatrical",Jealousy,Facelift,1990,53:54,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,"Capitol Recording Studios, Hollywood, CA","Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Bleak, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical","Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Night Driving, Open Road, Summer, Nighttime, Road Trip, TGIF, Drugs",3.5
Real Thing,"Jerry Cantrell, Layne Staley",Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Angry, Angst-Ridden, Anguished/Distraught, Bleak, Brash, Cathartic, Confrontational, Intense, Aggressive, Menacing, Ominous, Visceral, Hostile, Nihilistic, Volatile, Brooding, Gloomy, Theatrical",Feeling Blue,Facelift,1990,53:54,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,"Capitol Recording Studios, Hollywood, CA","Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Bleak, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical","Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Night Driving, Open Road, Summer, Nighttime, Road Trip, TGIF, Drugs",3.5
We Die Young,,,,,,We Die Young,1990,11:08,Alternative Pop/RockAlternative/Indie RockContemporary Pop/RockGrunge,,,,,
It Ain't Like That,,Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Angry, Angst-Ridden, Anguished/Distraught, Bleak, Cathartic, Confrontational, Intense, Aggressive, Menacing, Ominous, Visceral, Crunchy, Nihilistic, Volatile, Brooding, Gloomy, Theatrical",,We Die Young,1990,11:08,Alternative Pop/RockAlternative/Indie RockContemporary Pop/RockGrunge,,,,,
Killing Yourself,,,,,,We Die Young,1990,11:08,Alternative Pop/RockAlternative/Indie RockContemporary Pop/RockGrunge,,,,,
Man in the Box,"Jerry Cantrell, Layne Staley",Pop/Rock,"Alternative Metal, Heavy Metal, Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Hard Rock","Angry, Angst-Ridden, Bleak, Brooding, Cathartic, Menacing, Aggressive, Confrontational, Urgent, Crunchy, Intense, Ominous, Visceral, Anguished/Distraught, Hostile, Nihilistic, Volatile, Gloomy, Theatrical",,Live Facelift,1991,45:00,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,"December 22, 1990","Moore Theatre, Seatle, WA","Bleak, Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical",,2.0
Real Thing,"Jerry Cantrell, Layne Staley",Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Angry, Angst-Ridden, Anguished/Distraught, Bleak, Brash, Cathartic, Confrontational, Intense, Aggressive, Menacing, Ominous, Visceral, Hostile, Nihilistic, Volatile, Brooding, Gloomy, Theatrical",Feeling Blue,Live Facelift,1991,45:00,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,"December 22, 1990","Moore Theatre, Seatle, WA","Bleak, Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical",,2.0
"Love, Hate, Love","Jerry Cantrell, Layne Staley",Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Angry, Angst-Ridden, Anguished/Distraught, Bleak, Cathartic, Confrontational, Intense, Aggressive, Menacing, Ominous, Visceral, Melancholy, Nihilistic, Wistful, Brooding, Gloomy, Theatrical",,Live Facelift,1991,45:00,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,"December 22, 1990","Moore Theatre, Seatle, WA","Bleak, Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical",,2.0
Sea of Sorrow,Jerry Cantrell,Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Angst-Ridden, Anguished/Distraught, Bleak, Cathartic, Confrontational, Intense, Aggressive, Menacing, Visceral, Confident, Volatile, Brooding, Theatrical",Feeling Blue,Live Facelift,1991,45:00,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,"December 22, 1990","Moore Theatre, Seatle, WA","Bleak, Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical",,2.0
Bleed the Freak,Jerry Cantrell,Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Angry, Angst-Ridden, Anguished/Distraught, Bleak, Cathartic, Confrontational, Intense, Aggressive, Menacing, Ominous, Visceral, Hostile, Nihilistic, Volatile, Brooding, Gloomy, Theatrical",Motivation,Live Facelift,1991,45:00,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,"December 22, 1990","Moore Theatre, Seatle, WA","Bleak, Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical",,2.0
We Die Young,Jerry Cantrell,"Pop/Rock, Electronic","Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Club/Dance, Hard Rock, Alternative Metal","Angry, Angst-Ridden, Anguished/Distraught, Bleak, Brash, Cathartic, Confrontational, Intense, Aggressive, Menacing, Ominous, Visceral, Hostile, Lively, Nihilistic, Volatile, Brooding, Gloomy, Theatrical",Feeling Blue,Live Facelift,1991,45:00,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,"December 22, 1990","Moore Theatre, Seatle, WA","Bleak, Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Theatrical",,2.0
Brother,"Jerry Cantrell, Ray Davies",Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Brooding, Somber, Autumnal, Bitter, Melancholy, Visceral, Wistful, Gloomy, Bleak, Eerie, Reflective",,Sap,1992,16:59,Alternative MetalAlternative/Indie RockGrungeHard RockHeavy Metal,,"London Bridge Studios, Seattle, WA","Bleak, Anguished/Distraught, Gloomy, Bittersweet, Nihilistic, Aggressive, Angst-Ridden, Bitter, Brooding, Cathartic, Druggy, Gritty, Harsh, Intense, Melancholy, Menacing, Ominous, Sad, Somber, Visceral, Vulnerable, Wistful, Angry, Grim, Hostile, Introspective, Poignant, Malevolent, Theatrical","Anger/Hostility, Autumn, Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Open Road, Pain, Summer, Conflict, Introspection, Loneliness, Nighttime, Relationships, Road Trip, TGIF, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.0
Got Me Wrong,Jerry Cantrell,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Menacing, Druggy, Wistful, Brooding, Relaxed, Dreamy, Lively, Melancholy, Pastoral, Poignant, Sentimental, Reflective",In Love,Sap,1992,16:59,Alternative MetalAlternative/Indie RockGrungeHard RockHeavy Metal,,"London Bridge Studios, Seattle, WA","Bleak, Anguished/Distraught, Gloomy, Bittersweet, Nihilistic, Aggressive, Angst-Ridden, Bitter, Brooding, Cathartic, Druggy, Gritty, Harsh, Intense, Melancholy, Menacing, Ominous, Sad, Somber, Visceral, Vulnerable, Wistful, Angry, Grim, Hostile, Introspective, Poignant, Malevolent, Theatrical","Anger/Hostility, Autumn, Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Open Road, Pain, Summer, Conflict, Introspection, Loneliness, Nighttime, Relationships, Road Trip, TGIF, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.0
Right Turn,"Jerry Cantrell, Milt Grant, Link Wray",Pop/Rock,"Alternative/Indie Rock, Grunge",Brooding,,Sap,1992,16:59,Alternative MetalAlternative/Indie RockGrungeHard RockHeavy Metal,,"London Bridge Studios, Seattle, WA","Bleak, Anguished/Distraught, Gloomy, Bittersweet, Nihilistic, Aggressive, Angst-Ridden, Bitter, Brooding, Cathartic, Druggy, Gritty, Harsh, Intense, Melancholy, Menacing, Ominous, Sad, Somber, Visceral, Vulnerable, Wistful, Angry, Grim, Hostile, Introspective, Poignant, Malevolent, Theatrical","Anger/Hostility, Autumn, Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Open Road, Pain, Summer, Conflict, Introspection, Loneliness, Nighttime, Relationships, Road Trip, TGIF, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.0
Am I Inside,"Jerry Cantrell, Layne Staley",Pop/Rock,"Alternative/Indie Rock, Grunge",Brooding,,Sap,1992,16:59,Alternative MetalAlternative/Indie RockGrungeHard RockHeavy Metal,,"London Bridge Studios, Seattle, WA","Bleak, Anguished/Distraught, Gloomy, Bittersweet, Nihilistic, Aggressive, Angst-Ridden, Bitter, Brooding, Cathartic, Druggy, Gritty, Harsh, Intense, Melancholy, Menacing, Ominous, Sad, Somber, Visceral, Vulnerable, Wistful, Angry, Grim, Hostile, Introspective, Poignant, Malevolent, Theatrical","Anger/Hostility, Autumn, Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Open Road, Pain, Summer, Conflict, Introspection, Loneliness, Nighttime, Relationships, Road Trip, TGIF, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.0
Untitled,,Pop/Rock,"Alternative/Indie Rock, Grunge",,,Sap,1992,16:59,Alternative MetalAlternative/Indie RockGrungeHard RockHeavy Metal,,"London Bridge Studios, Seattle, WA","Bleak, Anguished/Distraught, Gloomy, Bittersweet, Nihilistic, Aggressive, Angst-Ridden, Bitter, Brooding, Cathartic, Druggy, Gritty, Harsh, Intense, Melancholy, Menacing, Ominous, Sad, Somber, Visceral, Vulnerable, Wistful, Angry, Grim, Hostile, Introspective, Poignant, Malevolent, Theatrical","Anger/Hostility, Autumn, Cool & Cocky, Day Driving, Drinking, Good Times, Guys Night Out, Hanging Out, Open Road, Pain, Summer, Conflict, Introspection, Loneliness, Nighttime, Relationships, Road Trip, TGIF, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.0
Them Bones,Jerry Cantrell,Pop/Rock,"Grunge, Alternative/Indie Rock, Alternative Pop/Rock, Alternative Metal, Heavy Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Hostile, Ominous, Brooding, Confrontational, Visceral, Bleak, Brash, Nihilistic, Volatile, Angry, Gloomy, Menacing, Druggy",,Dirt,1992,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5
Dam That River,Jerry Cantrell,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Heavy Metal, Alternative Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Hostile, Ominous, Brooding, Confrontational, Visceral, Bleak, Brash, Nihilistic, Volatile, Angry, Gloomy, Menacing, Druggy",,Dirt,1992,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5
Rain When I Die,"Jerry Cantrell, Sean Kinney, Layne Staley, Mike Starr",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Heavy Metal, Alternative Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Hostile, Ominous, Brooding, Confrontational, Visceral, Bleak, Brash, Nihilistic, Volatile, Angry, Gloomy, Menacing, Druggy",,Dirt,1992,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5
Down In A Hole,Jerry Cantrell,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Alternative Metal, Heavy Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Hostile, Ominous, Brooding, Confrontational, Visceral, Bleak, Brash, Nihilistic, Volatile, Angry, Gloomy, Menacing, Druggy",,Dirt,1992,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5
Sickman,"Jerry Cantrell, Layne Staley",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Heavy Metal, Alternative Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Hostile, Ominous, Brooding, Confrontational, Visceral, Bleak, Brash, Nihilistic, Volatile, Aggressive, Angry, Gloomy, Menacing, Druggy",,Dirt,1992,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5
Rooster,Jerry Cantrell,Pop/Rock,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Bleak, Cathartic, Gloomy, Hostile, Ominous, Somber, Brooding, Confrontational, Visceral, Nihilistic, Volatile, Angry, Calm/Peaceful, Melancholy, Menacing, Sentimental, Druggy",,Dirt,1992,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5
Junkhead,"Jerry Cantrell, Layne Staley",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Heavy Metal, Alternative Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Hostile, Ominous, Brooding, Confrontational, Visceral, Bleak, Brash, Nihilistic, Volatile, Angry, Gloomy, Menacing, Druggy",,Dirt,1992,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5
