track_title,album_title,album_release_date,track_composers,track_genres,track_styles,track_moods,track_themes,album_duration,album_styles,album_recording_date,album_recording_location,album_moods,album_themes,album_rating
Head Injury,Ultramega OK,1988,Chris Cornell,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Urgent, Bitter, Organic, Snide, Somber, Tense/Anxious, Acerbic, Cerebral, Dreamy",Imagination,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Incessant Mace,Ultramega OK,1988,"Chris Cornell, Kim Thayil",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Urgent, Bitter, Organic, Snide, Somber, Tense/Anxious, Acerbic, Cerebral, Dreamy",Imagination,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
One Minute of Silence,Ultramega OK,1988,John Lennon,,,"Atmospheric, Calm/Peaceful, Ethereal, Reflective, Delicate, Laid-Back/Mellow",Imagination,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Head Injury,Ultramega OK,1988,Chris Cornell,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Urgent, Bitter, Organic, Snide, Somber, Tense/Anxious, Acerbic, Cerebral, Dreamy",Imagination,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Beyond the Wheel,Ultramega OK,1988,,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal, Black Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent","Imagination, Late Night",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Incessant Mace,Ultramega OK,1988,"Chris Cornell, Kim Thayil",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Urgent, Bitter, Organic, Snide, Somber, Tense/Anxious, Acerbic, Cerebral, Dreamy",Imagination,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
He Didn't,Ultramega OK,1988,"Matt Cameron, Chris Cornell",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent",,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
All Your Lies,Ultramega OK,1988,,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent","Introspection, Regret, Solitude",01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Incessant Mace,Ultramega OK,1988,"Chris Cornell, Kim Thayil",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Urgent, Bitter, Organic, Snide, Somber, Tense/Anxious, Acerbic, Cerebral, Dreamy",Imagination,01:10:15,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1987,"Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent","Late Night, Drinking, Guys Night Out, Hanging Out, Night Driving, Nighttime, Drugs, Open Road, Scary Music",4.0
Ugly Truth,Louder Than Love,1989,Chris Cornell,Pop/Rock,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Tense/Anxious, Urgent, Bitter, Acerbic, Organic, Snide, Somber, Anguished/Distraught, Cerebral, Dreamy",Imagination,53:06,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1989,"London Bridge Studios, Seattle, WA","Brooding, Earnest, Gloomy, Literate, Self-Conscious, Tense/Anxious, Urgent, Bitter, Cerebral, Organic, Snide",Imagination,3.0
Hands All Over,Louder Than Love,1989,"Chris Cornell, Kim Thayil",Pop/Rock,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Tense/Anxious, Urgent, Bitter, Acerbic, Organic, Snide, Somber, Anguished/Distraught, Cerebral, Dreamy","Imagination, Politics/Society",53:06,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1989,"London Bridge Studios, Seattle, WA","Brooding, Earnest, Gloomy, Literate, Self-Conscious, Tense/Anxious, Urgent, Bitter, Cerebral, Organic, Snide",Imagination,3.0
Gun,Louder Than Love,1989,Chris Cornell,Pop/Rock,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Tense/Anxious, Urgent, Bitter, Acerbic, Organic, Snide, Somber, Anguished/Distraught, Cerebral, Dreamy",Imagination,53:06,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1989,"London Bridge Studios, Seattle, WA","Brooding, Earnest, Gloomy, Literate, Self-Conscious, Tense/Anxious, Urgent, Bitter, Cerebral, Organic, Snide",Imagination,3.0
Power Trip,Louder Than Love,1989,"Chris Cornell, Hiro Yamamoto",Pop/Rock,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Tense/Anxious, Urgent, Bitter, Acerbic, Organic, Snide, Somber, Anguished/Distraught, Cerebral, Dreamy",Imagination,53:06,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1989,"London Bridge Studios, Seattle, WA","Brooding, Earnest, Gloomy, Literate, Self-Conscious, Tense/Anxious, Urgent, Bitter, Cerebral, Organic, Snide",Imagination,3.0
Get on the Snake,Louder Than Love,1989,"Chris Cornell, Kim Thayil",Pop/Rock,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal","Brooding, Earnest, Literate, Self-Conscious, Tense/Anxious, Urgent, Bitter, Acerbic, Organic, Snide, Confrontational","Imagination, Drinking",53:06,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1989,"London Bridge Studios, Seattle, WA","Brooding, Earnest, Gloomy, Literate, Self-Conscious, Tense/Anxious, Urgent, Bitter, Cerebral, Organic, Snide",Imagination,3.0
Full On Kevin's Mom,Louder Than Love,1989,Chris Cornell,Pop/Rock,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Tense/Anxious, Urgent, Bitter, Acerbic, Organic, Snide, Somber, Anguished/Distraught, Cerebral, Dreamy","Imagination, Guys Night Out",53:06,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1989,"London Bridge Studios, Seattle, WA","Brooding, Earnest, Gloomy, Literate, Self-Conscious, Tense/Anxious, Urgent, Bitter, Cerebral, Organic, Snide",Imagination,3.0
Loud Love,Louder Than Love,1989,Chris Cornell,Pop/Rock,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Self-Conscious, Tense/Anxious, Urgent, Bitter, Acerbic, Organic, Snide, Cerebral, Ominous","Imagination, In Love",53:06,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1989,"London Bridge Studios, Seattle, WA","Brooding, Earnest, Gloomy, Literate, Self-Conscious, Tense/Anxious, Urgent, Bitter, Cerebral, Organic, Snide",Imagination,3.0
I Awake,Louder Than Love,1989,Hiro Yamamoto,Pop/Rock,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Tense/Anxious, Urgent, Bitter, Acerbic, Organic, Snide, Somber, Anguished/Distraught, Cerebral, Dreamy",Imagination,53:06,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1989,"London Bridge Studios, Seattle, WA","Brooding, Earnest, Gloomy, Literate, Self-Conscious, Tense/Anxious, Urgent, Bitter, Cerebral, Organic, Snide",Imagination,3.0
No Wrong No Right,Louder Than Love,1989,"Chris Cornell, Hiro Yamamoto",Pop/Rock,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Tense/Anxious, Urgent, Bitter, Acerbic, Organic, Snide, Somber, Anguished/Distraught, Cerebral, Dreamy",Imagination,53:06,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1989,"London Bridge Studios, Seattle, WA","Brooding, Earnest, Gloomy, Literate, Self-Conscious, Tense/Anxious, Urgent, Bitter, Cerebral, Organic, Snide",Imagination,3.0
Uncovered,Louder Than Love,1989,Chris Cornell,Pop/Rock,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Tense/Anxious, Urgent, Bitter, Organic, Snide, Angst-Ridden, Cerebral",Imagination,53:06,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1989,"London Bridge Studios, Seattle, WA","Brooding, Earnest, Gloomy, Literate, Self-Conscious, Tense/Anxious, Urgent, Bitter, Cerebral, Organic, Snide",Imagination,3.0
Big Dumb Sex,Louder Than Love,1989,Chris Cornell,Pop/Rock,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Tense/Anxious, Urgent, Bitter, Organic, Snide, Angst-Ridden, Cerebral",Imagination,53:06,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1989,"London Bridge Studios, Seattle, WA","Brooding, Earnest, Gloomy, Literate, Self-Conscious, Tense/Anxious, Urgent, Bitter, Cerebral, Organic, Snide",Imagination,3.0
Full On (Reprise),Louder Than Love,1989,Chris Cornell,Pop/Rock,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal","Earnest, Gloomy, Literate, Tense/Anxious, Urgent, Bitter, Organic, Snide, Angst-Ridden, Cerebral, Humorous","Imagination, Guys Night Out, Drinking",53:06,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1989,"London Bridge Studios, Seattle, WA","Brooding, Earnest, Gloomy, Literate, Self-Conscious, Tense/Anxious, Urgent, Bitter, Cerebral, Organic, Snide",Imagination,3.0
Flower,Flower,1989,"Chris Cornell, Kim Thayil",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Organic, Snide, Somber, Tense/Anxious, Acerbic, Bitter, Cerebral, Earnest, Urgent","Introspection, Regret, Solitude",11:26,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1988,"Dogfish Mobile Unit, Seattle, WA NewBurg, OR Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent",,2.0
Head Injury,Flower,1989,Chris Cornell,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Urgent, Bitter, Organic, Snide, Somber, Tense/Anxious, Acerbic, Cerebral, Dreamy",Imagination,11:26,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1988,"Dogfish Mobile Unit, Seattle, WA NewBurg, OR Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent",,2.0
Toy Box,Flower,1989,,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Alternative Pop/Rock, Heavy Metal","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Urgent, Bitter, Organic, Snide, Somber, Tense/Anxious, Acerbic, Cerebral, Dreamy",Imagination,11:26,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",1988,"Dogfish Mobile Unit, Seattle, WA NewBurg, OR Reciprocal Recording, Seattle, WA","Brooding, Gloomy, Literate, Paranoid, Self-Conscious, Acerbic, Bitter, Cerebral, Earnest, Organic, Snide, Somber, Tense/Anxious, Urgent",,2.0
Hunted Down,Screaming Life/Fopp,1990,"Matt Cameron, Chris Cornell, Kim Thayil, Hiro Yamamoto",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Heavy Metal, Alternative Pop/Rock","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Tense/Anxious, Urgent, Bitter, Organic, Snide, Angst-Ridden, Cerebral",Imagination,36:57,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",,,"Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Tense/Anxious, Urgent, Angst-Ridden, Bitter, Cerebral, Organic, Snide",Imagination,3.0
Entering,Screaming Life/Fopp,1990,Soundgarden,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Heavy Metal, Alternative Pop/Rock","Brooding, Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Tense/Anxious, Urgent, Bitter, Organic, Snide, Angst-Ridden, Cerebral",Imagination,36:57,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",,,"Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Tense/Anxious, Urgent, Angst-Ridden, Bitter, Cerebral, Organic, Snide",Imagination,3.0
Tears to Forget,Screaming Life/Fopp,1990,"Chris Cornell, Kim Thayil, Hiro Yamamoto",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Heavy Metal, Alternative Pop/Rock","Earnest, Harsh, Hostile, Tense/Anxious, Urgent, Volatile, Aggressive, Snide, Acerbic, Angst-Ridden, Cerebral, Confrontational, Organic, Gloomy, Literate, Paranoid, Bitter, Self-Conscious","Imagination, Guys Night Out, In Love, Loss/Grief",36:57,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",,,"Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Tense/Anxious, Urgent, Angst-Ridden, Bitter, Cerebral, Organic, Snide",Imagination,3.0
Nothing to Say,Screaming Life/Fopp,1990,"Matt Cameron, Chris Cornell, Ray Davies, Kim Thayil, Hiro Yamamoto",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Metal, Heavy Metal, Alternative Pop/Rock","Earnest, Harsh, Hostile, Tense/Anxious, Urgent, Volatile, Aggressive, Snide, Acerbic, Angst-Ridden, Cerebral, Confrontational, Organic, Gloomy, Literate, Paranoid, Bitter, Self-Conscious","Imagination, Guys Night Out",36:57,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal",,,"Earnest, Gloomy, Harsh, Literate, Paranoid, Self-Conscious, Tense/Anxious, Urgent, Angst-Ridden, Bitter, Cerebral, Organic, Snide",Imagination,3.0
